Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
,Marshy soils,3.86E–465,,,,"Sugar Raw Centrifugal",,"1296400.00",,,,,,,'Kaliope,F,10'
,Sandy Soil,458.003139,,,,"Cotton lint",,"1780.00",,,,,,,'Kalysta,F,10'
,Clay Soil,458.001137,,,,"Wine",,"6532300.00",,,,,,,'Kamala,F,10'
,Silt Soil,458.784625,,,,"Oil,,"334",,,,,,,'Kambrey,F,10'
,Alluvial soils,1.86E–464,,,,"Oil,,"331",,,,,,,'Kamela,F,10'
,Black soils,458.653187,,,,"Cottonseed",,"2680.00",,,,,,,'Kameria,F,10'
,Red soils,458.105878,,,,Rice,,"290",,,,,,,'Kammi,F,10'
,Laterite soils,458.018042,,,,Rice,,"281",,,,,,,'Kanishka,F,10'
,Desert soils,459.547536,,,,Rice,,"271",,,,,,,'Karmah,F,10'
,Mountain soils,3.41E–466,,,,Rice,,"268",,,,,,,'Karri,F,10'
,Saline soils,3.86E–466,,,,Rice,, virgin",,,,,,,'Kasidee,F,10'
,Alkaline soils,459.003139,,,,Rice,,"258",,,,,,,'Kassy,F,10'
,Peaty soils,459.001137,,,,Rice,,"252",,,,,,,'Kataleyah,F,10'
,Marshy soils,459.784625,,,,Rice,,"244",,,,,,,'Katarzyna,F,10'
,Sandy Soil,1.86E–465,,,,Rice,,"237",,,,,,,'Kawena,F,10'
,Clay Soil,459.653187,,,,"Molasses",,"388264.00",,,,,,,'Kaydyn,F,10'
,Silt Soil,459.105878,,,,"Margarine,,"1242",,,,,,,'Kaye,F,10'
,Alluvial soils,459.018042,,,,"Oil,,"60",,,,,,,'Kayelyn,F,10'
,Black soils,460.547536,,,,"Beer of barley",,"557000.00",,,,,,,'Kayliah,F,10'
,Red soils,3.41E–467,,,,"Molasses",,"165769.00",,,,,,,'Kayliee,F,10'
,Laterite soils,3.86E–467,,,,"Sugar Raw Centrifugal",,"451895.00",,,,,,,'Kayln,F,10'
,Desert soils,460.003139,,,,"Beer of barley",,"33531.00",,,,,,,'Kaylon,F,10'
,Mountain soils,460.001137,,,,"Margarine,,"1242",,,,,,,'Kaymarie,F,10'
,Saline soils,460.784625,,,,Rice,,"334",,,,,,,'Kaysi,F,10'
,Alkaline soils,1.86E–466,,,,Rice,,"252",,,,,,,'Keerthana,F,10'
,Peaty soils,460.653187,,,,Rice,,"237",,,,,,,'Kendrick,F,10'
,Marshy soils,460.105878,,,,Rice,,"331",,,,,,,'Keriana,F,10'
,Sandy Soil,460.018042,,,,Rice,,"290",,,,,,,'Keslie,F,10'
,Clay Soil,461.547536,,,,Rice,,"281",,,,,,,'Keva,F,10'
,Silt Soil,3.41E–468,,,,Rice,,"271",,,,,,,'Keyasia,F,10'
,Alluvial soils,3.86E–468,,,,Rice,,"268",,,,,,,'Khaira,F,10'
,Black soils,461.003139,,,,Rice,,"258",,,,,,,'Khalise,F,10'
,Red soils,461.001137,,,,Rice,,"252",,,,,,,'Khamora,F,10'
,Laterite soils,461.784625,,,,Rice,,"244",,,,,,,'Kharlie,F,10'
,Desert soils,1.86E–467,,,,"Beer of barley",,"2487780.00",,,,,,,'Kharter,F,10'
,Mountain soils,461.653187,,,,"Margarine,,"1242",,,,,,,'Khilyn,F,10'
,Saline soils,461.105878,,,,"Wine",,"22560.00",,,,,,,'Kiahna,F,10'
,Alkaline soils,461.018042,,,,"Oil,,"334",,,,,,,'Kimari,F,10'
,Peaty soils,462.547536,,,,"Oil,,"237",,,,,,,'Kimoni,F,10'
,Marshy soils,3.41E–469,,,,"Molasses",,"131000.00",,,,,,,'Kingston,F,10'
,Sandy Soil,3.86E–469,,,,"Sugar Raw Centrifugal",,"627600.00",,,,,,,'Kinzi,F,10'
,Clay Soil,462.003139,,,,"Oil,,"60",,,,,,,'Kioni,F,10'
,Silt Soil,462.001137,,,,"Oil,, virgin",,,,,,,'Kiri,F,10'
,Alluvial soils,462.784625,,,,"Oil,,"290",,,,,,,'Kirie,F,10'
,Black soils,1.86E–468,,,,"Wine",,"0.00",,,,,,,'Klover,F,10'
,Red soils,462.653187,,,,"Beer of barley",,"1393.00",,,,,,,'Kodee,F,10'
,Laterite soils,462.105878,,,,"Sugar Raw Centrifugal",,"88524.00",,,,,,,'Kortlynn,F,10'
,Desert soils,462.018042,,,,"Beer of barley",,"60001.00",,,,,,,'Kourtlynn,F,10'
,Mountain soils,463.547536,,,,"Molasses",,"31260.00",,,,,,,'Kristalyn,F,10'
,Saline soils,3.41E–470,,,,"Oil,,"252",,,,,,,'Kwynn,F,10'
,Alkaline soils,3.86E–470,,,,"Oil,,"268",,,,,,,'Kyani,F,10'
,Peaty soils,463.003139,,,,"Cottonseed",,"9490.00",,,,,,,'Kylieann,F,10'
,Marshy soils,463.001137,,,,"Oil,,"331",,,,,,,'Kyonna,F,10'
,Sandy Soil,463.784625,,,,"Oil,,"334",,,,,,,'Laelani,F,10'
,Clay Soil,1.86E–469,,,,"Cotton lint",,"4735.00",,,,,,,'Lamara,F,10'
,Silt Soil,463.653187,,,,"Margarine,,"1242",,,,,,,'Latifa,F,10'
,Alluvial soils,463.105878,,,,"Oil,,"252",,,,,,,'Laureen,F,10'
,Black soils,463.018042,,,,"Oil,,"244",,,,,,,'Laylamarie,F,10'
,Red soils,464.547536,,,,"Beer of barley",,"0.00",,,,,,,'Laylee,F,10'
,Laterite soils,3.41E–471,,,,"Oil,,"237",,,,,,,'Laylia,F,10'
,Desert soils,3.86E–471,,,,"Oil,,"331",,,,,,,'Layloni,F,10'
,Mountain soils,464.003139,,,,"Cottonseed",,"5000.00",,,,,,,'Leenah,F,10'
,Saline soils,464.001137,,,,"Oil,,"244",,,,,,,'Leilanee,F,10'
,Alkaline soils,464.784625,,,,"Cotton lint",,"2500.00",,,,,,,'Leily,F,10'
,Peaty soils,1.86E–470,,,,"Oil,,"290",,,,,,,'Leland,F,10'
,Marshy soils,464.653187,,,,"Oil,, virgin",,,,,,,'Lemon,F,10'
,Sandy Soil,464.105878,,,,"Oil,,"244",,,,,,,'Lennex,F,10'
,Clay Soil,464.018042,,,,"Wine",,"3750.00",,,,,,,'Leslye,F,10'
,Silt Soil,465.547536,,,,"Molasses",,"5352.84",,,,,,,'Lezlie,F,10'
,Alluvial soils,3.41E–472,,,,"Oil,,"237",,,,,,,'Liadan,F,10'
,Black soils,3.86E–472,,,,"Oil,,"331",,,,,,,'Liane,F,10'
,Red soils,465.003139,,,,"Oil,,"268",,,,,,,'Liela,F,10'
,Laterite soils,465.001137,,,,"Beer of barley",,"8645.42",,,,,,,'Lilac,F,10'
,Desert soils,465.784625,,,,"Sugar Raw Centrifugal",,"10486.00",,,,,,,'Lilja,F,10'
,Mountain soils,1.86E–471,,,,"Beer of barley",,"2223.00",,,,,,,'Lilliahna,F,10'
,Saline soils,465.653187,,,,"Palm kernels",,"12100.00",,,,,,,'Linnaea,F,10'
,Alkaline soils,465.105878,,,,"Oil,,"257",,,,,,,'Lior,F,10'
,Peaty soils,465.018042,,,,"Oil,,"258",,,,,,,'Lizet,F,10'
,Marshy soils,466.547536,,,,"Oil,,"237",,,,,,,'Loa,F,10'
,Sandy Soil,3.41E–473,,,,"Wine",,"2640.00",,,,,,,'Londin,F,10'
,Clay Soil,3.86E–473,,,,"Beer of barley",,"5579.00",,,,,,,'Loralee,F,10'
,Silt Soil,466.003139,,,,"Oil,, virgin",,,,,,,'Lorraina,F,10'
,Alluvial soils,466.001137,,,,"Wine",,"74.00",,,,,,,'Lovie,F,10'
,Black soils,466.784625,,,,"Oil,,"252",,,,,,,'Lucelia,F,10'
,Red soils,1.86E–472,,,,"Cottonseed",,"7894.00",,,,,,,'Lucilla,F,10'
,Laterite soils,466.653187,,,,"Oil,,"331",,,,,,,'Lucillia,F,10'
,Desert soils,466.105878,,,,"Wine",,"1653.00",,,,,,,'Lucyann,F,10'
,Mountain soils,466.018042,,,,"Cotton lint",,"3947.00",,,,,,,'Luxe,F,10'
,Saline soils,467.547536,,,,"Beer of barley",,"6800.00",,,,,,,'Luzelena,F,10'
,Alkaline soils,3.41E–474,,,,"Sugar Raw Centrifugal",,"98500.00",,,,,,,'Lyda,F,10'
,Peaty soils,3.86E–474,,,,"Oil,,"244",,,,,,,'Lyle,F,10'
,Marshy soils,467.003139,,,,"Molasses",,"34000.00",,,,,,,'Lynix,F,10'
,Sandy Soil,467.001137,,,,"Molasses",,"6366.00",,,,,,,'Lynna,F,10'
,Clay Soil,467.784625,,,,"Oil,,"244",,,,,,,'Lynzee,F,10'
,Silt Soil,1.86E–473,,,,"Oil,,"268",,,,,,,'Lynzi,F,10'
,Alluvial soils,467.653187,,,,"Cottonseed",,"7661.00",,,,,,,'Maat,F,10'
,Black soils,467.105878,,,,"Oil,,"331",,,,,,,'Mabrey,F,10'
,Red soils,467.018042,,,,"Cotton lint",,"3831.00",,,,,,,'Macaria,F,10'
,Laterite soils,468.547536,,,,"Beer of barley",,"2184.00",,,,,,,'Mackenize,F,10'
,Desert soils,3.41E–475,,,,"Sugar Raw Centrifugal",,"21000.00",,,,,,,'Madasyn,F,10'
,Mountain soils,3.86E–475,,,,"Oil,,"252",,,,,,,'Maddeline,F,10'
,Saline soils,468.003139,,,,"Palm kernels",,"62667.00",,,,,,,'Madolyn,F,10'
,Alkaline soils,468.001137,,,,"Oil,,"257",,,,,,,'Madysin,F,10'
,Peaty soils,468.784625,,,,"Oil,,"258",,,,,,,'Maebel,F,10'
,Marshy soils,1.86E–474,,,,"Oil,,"268",,,,,,,'Magdelyn,F,10'
,Sandy Soil,468.653187,,,,"Oil,,"290",,,,,,,'Mahra,F,10'
,Clay Soil,468.105878,,,,"Oil,,"237",,,,,,,'Mailin,F,10'
,Silt Soil,468.018042,,,,"Margarine,,"1242",,,,,,,'Mailynn,F,10'
,Alluvial soils,469.547536,,,,"Beer of barley",,"35000.00",,,,,,,'Makalah,F,10'
,Black soils,3.41E–476,,,,"Sugar Raw Centrifugal",,"1500.00",,,,,,,'Makayli,F,10'
,Red soils,3.86E–476,,,,"Molasses",,"900.00",,,,,,,'Makenlie,F,10'
,Laterite soils,469.003139,,,,"Oil,,"252",,,,,,,'Makinleigh,F,10'
,Desert soils,469.001137,,,,"Beer of barley",,"0.00",,,,,,,'Makyiah,F,10'
,Mountain soils,469.784625,,,,"Sugar Raw Centrifugal",,"3685.00",,,,,,,'Makyra,F,10'
,Saline soils,1.86E–475,,,,"Molasses",,"1480.00",,,,,,,'Malee,F,10'
,Alkaline soils,469.653187,,,,"Oil,,"244",,,,,,,'Maloni,F,10'
,Peaty soils,469.105878,,,,"Cottonseed",,"25700.00",,,,,,,'Malori,F,10'
,Marshy soils,469.018042,,,,"Cotton lint",,"15134.00",,,,,,,'Malya,F,10'
,Sandy Soil,470.547536,,,,"Beer of barley",,"6013.00",,,,,,,'Manreet,F,10'
,Clay Soil,3.41E–477,,,,"Oil,, virgin",,,,,,,'Marayah,F,10'
,Silt Soil,3.86E–477,,,,"Wine",,"2450.00",,,,,,,'Mariaisabel,F,10'
,Alluvial soils,470.003139,,,,"Molasses",,"15150.00",,,,,,,'Mariame,F,10'
,Black soils,470.001137,,,,"Sugar Raw Centrifugal",,"36931.00",,,,,,,'Marifer,F,10'
,Red soils,470.784625,,,,"Oil,,"244",,,,,,,'Marijose,F,10'
,Laterite soils,1.86E–476,,,,"Oil,,"334",,,,,,,'Marivel,F,10'
,Desert soils,470.653187,,,,"Beer of barley",,"3900.00",,,,,,,'Markia,F,10'
,Mountain soils,470.105878,,,,"Sugar Raw Centrifugal",,"632223.00",,,,,,,'Markiya,F,10'
,Saline soils,470.018042,,,,"Molasses",,"132707.00",,,,,,,'Marleni,F,10'
,Alkaline soils,471.547536,,,,"Oil,,"252",,,,,,,'Marliyah,F,10'
,Peaty soils,3.41E–478,,,,"Oil,,"257",,,,,,,'Marlynn,F,10'
,Marshy soils,3.86E–478,,,,"Beer of barley",,"1251900.00",,,,,,,'Maryclaire,F,10'
,Sandy Soil,471.003139,,,,"Oil,,"60",,,,,,,'Maryfrances,F,10'
,Clay Soil,471.001137,,,,"Sugar Raw Centrifugal",,"2326775.00",,,,,,,'Maryiah,F,10'
,Silt Soil,471.784625,,,,"Molasses",,"908718.00",,,,,,,'Maryssa,F,10'
,Alluvial soils,1.86E–477,,,,"Oil,,"237",,,,,,,'Massa,F,10'
,Black soils,471.653187,,,,"Oil,,"244",,,,,,,'Matylda,F,10'
,Red soils,471.105878,,,,"Oil,,"252",,,,,,,'Maybrie,F,10'
,Laterite soils,471.018042,,,,"Palm kernels",,"25272.00",,,,,,,'Maylah,F,10'
,Desert soils,472.547536,,,,"Oil,,"258",,,,,,,'Mayley,F,10'
,Mountain soils,3.41E–479,,,,"Oil,, virgin",,,,,,,'Mayrani,F,10'
,Saline soils,3.86E–479,,,,"Oil,,"271",,,,,,,'Mazi,F,10'
,Alkaline soils,472.003139,,,,"Oil,,"281",,,,,,,'Mazlyn,F,10'
,Peaty soils,472.001137,,,,"Oil,,"290",,,,,,,'Mckenleigh,F,10'
,Marshy soils,472.784625,,,,"Cottonseed",,"966011.00",,,,,,,'Mckenzye,F,10'
,Sandy Soil,1.86E–478,,,,"Oil,,"331",,,,,,,'Mckinzee,F,10'
,Clay Soil,472.653187,,,,"Oil,,"334",,,,,,,'Meiling,F,10'
,Silt Soil,472.105878,,,,"Wine",,"43227.31",,,,,,,'Melat,F,10'
,Alluvial soils,472.018042,,,,"Cotton lint",,"591961.00",,,,,,,'Melek,F,10'
,Black soils,473.547536,,,,"Margarine,,"1242",,,,,,,'Melenie,F,10'
,Red soils,3.41E–480,,,,"Beer of barley",,"1900.00",,,,,,,'Melis,F,10'
,Laterite soils,3.86E–480,,,,"Cottonseed",,"100.00",,,,,,,'Meliya,F,10'
,Desert soils,473.003139,,,,"Oil,,"331",,,,,,,'Merly,F,10'
,Mountain soils,473.001137,,,,"Cotton lint",,"52.00",,,,,,,'Mery,F,10'
,Saline soils,473.784625,,,,"Beer of barley",,"40517.05",,,,,,,'Michaelah,F,10'
,Alkaline soils,1.86E–479,,,,"Oil,,"271",,,,,,,'Mickie,F,10'
,Peaty soils,473.653187,,,,"Oil,,"268",,,,,,,'Mikaya,F,10'
,Marshy soils,473.105878,,,,"Oil,, virgin",,,,,,,'Mikayah,F,10'
,Sandy Soil,473.018042,,,,"Oil,,"258",,,,,,,'Mikenzy,F,10'
,Clay Soil,474.547536,,,,"Oil,,"244",,,,,,,'Mikiya,F,10'
,Silt Soil,3.41E–481,,,,"Molasses",,"37397.00",,,,,,,'Milanie,F,10'
,Alluvial soils,3.86E–481,,,,"Sugar Raw Centrifugal",,"107600.00",,,,,,,'Milanna,F,10'
,Black soils,474.003139,,,,"Oil,,"331",,,,,,,'Milany,F,10'
,Red soils,474.001137,,,,"Oil,,"334",,,,,,,'Mileigh,F,10'
,Laterite soils,474.784625,,,,"Wine",,"175000.00",,,,,,,'Mili,F,10'
,Desert soils,1.86E–480,,,,"Cotton lint",,"6500.00",,,,,,,'Miliah,F,10'
,Mountain soils,474.653187,,,,"Cottonseed",,"12070.00",,,,,,,'Milianna,F,10'
,Saline soils,474.105878,,,,"Oil,,"281",,,,,,,'Milo,F,10'
,Alkaline soils,474.018042,,,,"Margarine,,"1242",,,,,,,'Mindel,F,10'
,Peaty soils,475.547536,,,,"Beer of barley",,"26400.00",,,,,,,'Mishelle,F,10'
,Marshy soils,3.41E–482,,,,"Oil,,"60",,,,,,,'Moncerrat,F,10'
,Sandy Soil,3.86E–482,,,,"Sugar Raw Centrifugal",,"214452.00",,,,,,,'Moyinoluwa,F,10'
,Clay Soil,475.003139,,,,"Molasses",,"76163.14",,,,,,,'Munirah,F,10'
,Silt Soil,475.001137,,,,"Oil,,"244",,,,,,,'My,F,10'
,Alluvial soils,475.784625,,,,"Oil,,"252",,,,,,,'Myelle,F,10'
,Black soils,1.86E–481,,,,"Oil,,"268",,,,,,,'Mykiah,F,10'
,Red soils,475.653187,,,,"Oil,,"290",,,,,,,'Nabeeha,F,10'
,Laterite soils,475.105878,,,,"Cottonseed",,"84536.00",,,,,,,'Nadra,F,10'
,Desert soils,475.018042,,,,"Oil,,"331",,,,,,,'Naeemah,F,10'
,Mountain soils,476.547536,,,,"Cotton lint",,"42268.00",,,,,,,'Nahia,F,10'
,Saline soils,3.41E–483,,,,"Oil,,"268",,,,,,,'Nanami,F,10'
,Alkaline soils,3.86E–483,,,,"Oil,,"237",,,,,,,'Nanea,F,10'
,Peaty soils,476.003139,,,,"Oil,,"244",,,,,,,'Nareh,F,10'
,Marshy soils,476.001137,,,,"Oil,,"331",,,,,,,'Naria,F,10'
,Sandy Soil,476.784625,,,,"Cottonseed",,"33086.00",,,,,,,'Nasro,F,10'
,Clay Soil,1.86E–482,,,,"Oil,,"290",,,,,,,'Neaveh,F,10'
,Silt Soil,476.653187,,,,"Oil,,"252",,,,,,,'Neelah,F,10'
,Alluvial soils,476.105878,,,,"Cotton lint",,"16540.00",,,,,,,'Nehemie,F,10'
,Black soils,476.018042,,,,"Sugar Raw Centrifugal",,"71652.00",,,,,,,'Nelle,F,10'
,Red soils,477.547536,,,,"Molasses",,"30327.00",,,,,,,'Nesiah,F,10'
,Laterite soils,3.41E–484,,,,"Oil,,"331",,,,,,,'Nessiah,F,10'
,Desert soils,3.86E–484,,,,"Cottonseed",,"0.00",,,,,,,'Nevah,F,10'
,Mountain soils,477.003139,,,,"Oil,,"268",,,,,,,'Neya,F,10'
,Saline soils,477.001137,,,,"Beer of barley",,"0.00",,,,,,,'Nielle,F,10'
,Alkaline soils,477.784625,,,,"Cotton lint",,"0.00",,,,,,,'Niema,F,10'
,Peaty soils,1.86E–483,,,,"Sugar Raw Centrifugal",,"4166.00",,,,,,,'Nigeria,F,10'
,Marshy soils,477.653187,,,,"Molasses",,"1500.00",,,,,,,'Nijah,F,10'
,Sandy Soil,477.105878,,,,"Oil,,"237",,,,,,,'Nikky,F,10'
,Clay Soil,477.018042,,,,"Oil,,"252",,,,,,,'Nimo,F,10'
,Silt Soil,478.547536,,,,"Oil,,"271",,,,,,,'Nishtha,F,10'
,Alluvial soils,3.41E–485,,,,"Cottonseed",,"0.00",,,,,,,'Nneoma,F,10'
,Black soils,3.86E–485,,,,"Oil,,"331",,,,,,,'Nohea,F,10'
,Red soils,478.003139,,,,"Oil,,"334",,,,,,,'Nohelia,F,10'
,Laterite soils,478.001137,,,,"Cotton lint",,"0.00",,,,,,,'Nollie,F,10'
,Desert soils,478.784625,,,,"Margarine,,"1242",,,,,,,'Novalyn,F,10'
,Mountain soils,1.86E–484,,,,"Molasses",,"205000.00",,,,,,,'Nusaiba,F,10'
,Saline soils,478.653187,,,,"Sugar Raw Centrifugal",,"720000.00",,,,,,,'Nusayba,F,10'
,Alkaline soils,478.105878,,,,"Oil,,"60",,,,,,,'Nyeema,F,10'
,Peaty soils,478.018042,,,,"Beer of barley",,"684900.00",,,,,,,'Nzuri,F,10'
,Marshy soils,479.547536,,,,"Oil,,"252",,,,,,,'Oceanna,F,10'
,Sandy Soil,3.41E–486,,,,"Oil,,"258",,,,,,,'Oluwajomiloju,F,10'
,Clay Soil,3.86E–486,,,,"Margarine,,"1242",,,,,,,'Oluwateniola,F,10'
,Silt Soil,479.003139,,,,Rice,,"334",,,,,,,'Oluwatomisin,F,10'
,Alluvial soils,479.001137,,,,Rice,,"290",,,,,,,'Ondine,F,10'
,Black soils,479.784625,,,,Rice,,"281",,,,,,,'Oralia,F,10'
,Red soils,1.86E–485,,,,Rice,,"271",,,,,,,'Otilia,F,10'
,Laterite soils,479.653187,,,,Rice,,"268",,,,,,,'Paeyton,F,10'
,Desert soils,479.105878,,,,Rice,,"244",,,,,,,'Parneet,F,10'
,Mountain soils,479.018042,,,,Rice,,"237",,,,,,,'Payzley,F,10'
,Saline soils,480.547536,,,,"Beer of barley",,"5100.00",,,,,,,'Penelopi,F,10'
,Alkaline soils,3.41E–487,,,,"Beer of barley",,"1330.00",,,,,,,'Persephonie,F,10'
,Peaty soils,3.86E–487,,,,"Oil,,"252",,,,,,,'Pooja,F,10'
,Marshy soils,480.003139,,,,"Oil,,"252",,,,,,,'Prairie,F,10'
,Sandy Soil,480.001137,,,,"Margarine,,"1242",,,,,,,'Prakriti,F,10'
,Clay Soil,480.784625,,,,"Oil,,"334",,,,,,,'Prapti,F,10'
,Silt Soil,1.86E–486,,,,"Beer of barley",,"309648.00",,,,,,,'Rahima,F,10'
,Alluvial soils,480.653187,,,,"Wine",,"13700.00",,,,,,,'Raidyn,F,10'
,Black soils,480.105878,,,,"Oil,,"60",,,,,,,'Rainie,F,10'
,Red soils,480.018042,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,'Raissa,F,10'
,Laterite soils,481.547536,,,,"Oil,,"331",,,,,,,'Raiven,F,10'
,Desert soils,3.41E–488,,,,"Oil,,"290",,,,,,,'Raiyah,F,10'
,Mountain soils,3.86E–488,,,,"Cottonseed",,"165600.00",,,,,,,'Ramani,F,10'
,Saline soils,481.003139,,,,"Cotton lint",,"102196.00",,,,,,,'Ramata,F,10'
,Alkaline soils,481.001137,,,,"Oil,,"258",,,,,,,'Raphaela,F,10'
,Peaty soils,481.784625,,,,"Oil,,"257",,,,,,,'Reata,F,10'
,Marshy soils,1.86E–487,,,,"Palm kernels",,"400.00",,,,,,,'Reia,F,10'
,Sandy Soil,481.653187,,,,"Oil,,"237",,,,,,,'Reilynn,F,10'
,Clay Soil,481.105878,,,,"Molasses",,"45359.00",,,,,,,'Rein,F,10'
,Silt Soil,481.018042,,,,"Sugar Raw Centrifugal",,"106000.00",,,,,,,'Reizy,F,10'
,Alluvial soils,482.547536,,,,"Beer of barley",,"15624.00",,,,,,,'Renesme,F,10'
,Black soils,3.41E–489,,,,"Cottonseed",,"4659.00",,,,,,,'Rhegan,F,10'
,Red soils,,,,,"Cotton lint",,"2349.00",,,,,,,'Rhemi,F,10'
,Laterite soils,,,,,"Oil,,"331",,,,,,,'Rhia,F,10'
,Desert soils,,,,,"Sugar Raw Centrifugal",,"2467.00",,,,,,,'Rhilee,F,10'
,Mountain soils,,,,,"Molasses",,"740.10",,,,,,,'Rhilyn,F,10'
,Saline soils,,,,,"Oil,,"258",,,,,,,'Riham,F,10'
,Alkaline soils,,,,,"Oil,,"244",,,,,,,'Riven,F,10'
,Peaty soils,,,,,"Molasses",,"10500.00",,,,,,,'Riyana,F,10'
,Marshy soils,,,,,"Oil,,"237",,,,,,,'Romaisa,F,10'
,Sandy Soil,,,,,"Oil,,"244",,,,,,,'Rosalea,F,10'
,Clay Soil,,,,,"Oil,,"252",,,,,,,'Rosana,F,10'
,Silt Soil,,,,,"Palm kernels",,"214000.00",,,,,,,'Rosary,F,10'
,Alluvial soils,,,,,"Beer of barley",,"70900.00",,,,,,,'Rosealee,F,10'
,Black soils,,,,,"Oil,,"257",,,,,,,'Rosibel,F,10'
,Red soils,,,,,"Sugar Raw Centrifugal",,"21000.00",,,,,,,'Roslin,F,10'
,Laterite soils,,,,,"Cotton lint",,"27000.00",,,,,,,'Ruweyda,F,10'
,Desert soils,,,,,"Oil,,"331",,,,,,,'Rylenn,F,10'
,Mountain soils,,,,,"Cottonseed",,"54000.00",,,,,,,'Rynn,F,10'
,Saline soils,,,,,"Oil,,"290",,,,,,,'Sabiha,F,10'
,Alkaline soils,,,,,"Oil,,"258",,,,,,,'Sabriya,F,10'
,Peaty soils,,,,,"Oil,,"271",,,,,,,'Sadaf,F,10'
,Marshy soils,,,,,"Oil,,"252",,,,,,,'Sadiemae,F,10'
,Sandy Soil,,,,,"Oil,,"237",,,,,,,'Sadiyah,F,10'
,Clay Soil,,,,,"Oil,,"334",,,,,,,'Saesha,F,10'
,Silt Soil,,,,,"Margarine,,"1242",,,,,,,'Sagal,F,10'
,Alluvial soils,,,,,"Oil,,"244",,,,,,,'Sahily,F,10'
,Black soils,,,,,"Beer of barley",,"133800.00",,,,,,,'Saia,F,10'
,Red soils,,,,,"Oil,,"290",,,,,,,'Salima,F,10'
,Laterite soils,,,,,"Oil,, virgin",,,,,,,'Saloma,F,10'
,Desert soils,,,,,"Oil,,"252",,,,,,,'Samhitha,F,10'
,Mountain soils,,,,,"Cottonseed",,"1058080.00",,,,,,,'Sanah,F,10'
,Saline soils,,,,,"Beer of barley",,"2360.00",,,,,,,'Sanari,F,10'
,Alkaline soils,,,,,"Sugar Raw Centrifugal",,"273800.00",,,,,,,'Sanii,F,10'
,Peaty soils,,,,,"Molasses",,"144000.00",,,,,,,'Sanika,F,10'
,Marshy soils,,,,,Rice,,"237",,,,,,,'Sanna,F,10'
,Sandy Soil,,,,,Rice,,"244",,,,,,,'Sanskriti,F,10'
,Clay Soil,,,,,Rice,,"252",,,,,,,'Sanvika,F,10'
,Silt Soil,,,,,Rice,,"268",,,,,,,'Sanyla,F,10'
,Alluvial soils,,,,,Rice,,"271",,,,,,,'Sarabella,F,10'
,Black soils,,,,,Rice,,"290",,,,,,,'Sarahann,F,10'
,Red soils,,,,,Rice,,"331",,,,,,,'Saraih,F,10'
,Laterite soils,,,,,Rice,,"334",,,,,,,'Saranya,F,10'
,Desert soils,,,,,"Cotton lint",,"529040.00",,,,,,,'Saraphina,F,10'
,Mountain soils,,,,,"Margarine,,"1242",,,,,,,'Sarika,F,10'
,Saline soils,,,,,"Beer of barley",,"30859.00",,,,,,,'Sarinity,F,10'
,Alkaline soils,,,,,"Molasses",,"28164.00",,,,,,,'Sarya,F,10'
,Peaty soils,,,,,"Sugar Raw Centrifugal",,"70410.00",,,,,,,'Saryiah,F,10'
,Marshy soils,,,,,"Wine",,"120.00",,,,,,,'Scarlettrose,F,10'
,Sandy Soil,,,,,"Oil,,"290",,,,,,,'Seidy,F,10'
,Clay Soil,,,,,"Oil,,"257",,,,,,,'Selenia,F,10'
,Silt Soil,,,,,"Palm kernels",,"0.00",,,,,,,'Shama,F,10'
,Alluvial soils,,,,,"Oil,,"252",,,,,,,'Shamaya,F,10'
,Black soils,,,,,"Beer of barley",,"10300.00",,,,,,,'Sharleen,F,10'
,Red soils,,,,,"Oil,,"252",,,,,,,'Shayden,F,10'
,Laterite soils,,,,,"Molasses",,"11100.00",,,,,,,'Sheina,F,10'
,Desert soils,,,,,"Cotton lint",,"9676.00",,,,,,,'Shelia,F,10'
,Mountain soils,,,,,"Beer of barley",,"10700.00",,,,,,,'Sherri,F,10'
,Saline soils,,,,,"Sugar Raw Centrifugal",,"37106.00",,,,,,,'Sheyli,F,10'
,Alkaline soils,,,,,"Wine",,"6000.00",,,,,,,'Shila,F,10'
,Peaty soils,,,,,"Oil,,"331",,,,,,,'Shiza,F,10'
,Marshy soils,,,,,"Cottonseed",,"17350.00",,,,,,,'Shree,F,10'
,Sandy Soil,,,,,"Oil,,"271",,,,,,,'Shresta,F,10'
,Clay Soil,,,,,"Oil,,"258",,,,,,,'Shruthi,F,10'
,Silt Soil,,,,,"Oil,,"257",,,,,,,'Sierrah,F,10'
,Alluvial soils,,,,,"Palm kernels",,"13485.00",,,,,,,'Siomara,F,10'
,Black soils,,,,,"Oil,,"244",,,,,,,'Sisira,F,10'
,Red soils,,,,,"Oil,,"237",,,,,,,'Sitara,F,10'
,Laterite soils,,,,,"Molasses",,"254526.00",,,,,,,'Skiler,F,10'
,Desert soils,,,,,"Beer of barley",,"218800.00",,,,,,,'Snigdha,F,10'
,Mountain soils,,,,,"Sugar Raw Centrifugal",,"752132.00",,,,,,,'Sochi,F,10'
,Saline soils,,,,,"Oil,, virgin",,,,,,,'Socorro,F,10'
